1_0_2_1_5_8_-13_0.07,3412
1_0_2_1_5_8_-13_0.06,505
1_0_3_0_5_5_-25_0.07,2887
0_1_2_1_5_8_-4_0.07,1851
1_0_2_0_5_8_-12_0.06,34
1_1_2_0_5_9_-23_0.01,4343
1_1_3_0_5_8_-22_0.05,1886
1_1_1_1_5_6_-16_0.04,3208
0_0_2_0_5_3_-25_0.08,1658
0_0_2_1_5_6_-12_0.04,480
1_1_3_0_5_8_-22_0.02,4964
0_0_2_1_5_12_-3_0.09,3527
0_0_1_0_5_8_-1_0.08,481
1_0_3_0_5_7_-20_0.04,194
0_1_1_1_5_7_-10_0.03,1902
0_1_2_1_5_12_-5_0.03,4747
0_0_3_0_5_1_-16_0.08,896
0_0_1_1_5_8_-10_0.09,3011
1_1_1_1_5_10_-22_0.08,23
0_0_1_1_5_8_-23_0.08,766
1_0_1_1_5_6_-23_0.06,3851
1_0_1_1_5_7_-13_0.08,1554
0_1_1_0_5_11_-18_0.07,1774
0_0_1_1_5_8_-23_0.03,1986
0_1_1_0_5_11_-18_0.05,71
1_1_3_1_5_9_-15_0.02,4547
1_0_1_1_5_1_-23_0.05,852
0_1_3_1_5_8_-10_0.05,3516
1_0_1_1_5_1_-10_0.04,4442
0_0_1_0_5_9_-21_0.02,1048
1_0_2_0_5_5_-2_0.07,105
0_1_3_1_5_4_-2_0.08,2906
0_1_3_1_5_5_-4_0.08,4663
0_0_3_0_5_1_-8_0.09,1322
1_0_1_1_5_12_-22_0.08,212
0_0_1_1_5_8_-17_0.09,3903
1_0_2_0_5_3_-9_0.01,145
0_1_1_0_5_2_-11_0.08,3242
0_1_3_1_5_2_-15_0.05,3668
1_0_1_1_5_10_-16_0.02,3065
0_0_2_1_5_9_-10_0.09,4078
1_1_1_0_5_3_-5_0.05,1517
1_1_3_1_5_7_-3_0.09,1855
0_1_2_0_5_12_-1_0.08,2077
0_0_2_1_5_10_-6_0.06,407
1_0_3_1_5_12_-22_0.09,4618
1_1_2_0_5_8_-9_0.05,985
1_1_2_0_5_8_-9_0.04,333
1_1_3_1_5_4_-16_0.02,3133
1_1_1_0_5_3_-5_0.09,4824
1_1_2_1_5_2_-6_0.08,3287
1_0_2_0_5_1_-21_0.03,3855
1_0_3_1_5_12_-17_0.02,969
1_0_3_1_5_12_-17_0.04,68
0_1_3_1_5_10_-15_0.05,2034
0_1_2_1_5_8_-15_0.05,694
1_0_2_1_5_8_-10_0.03,3716
0_0_1_1_5_11_-9_0.03,4819
1_0_2_1_5_3_-4_0.06,3072
0_0_2_1_5_12_-19_0.07,47
1_0_3_0_5_7_-24_0.01,1107
0_1_3_0_5_3_-5_0.06,153
0_1_3_0_5_3_-5_0.07,1900
1_0_2_0_5_3_-16_0.1,4942
0_1_3_1_5_9_-16_0.07,2025
1_0_3_0_5_11_-23_0.01,2050
1_1_2_1_5_8_-8_0.08,3687
0_1_3_0_5_8_-19_0.09,4350
0_1_2_0_5_3_-25_0.09,2619
1_0_2_1_5_6_-18_0.09,414
1_0_1_1_5_11_-22_0.02,4688
0_1_1_1_5_4_-9_0.02,3942
1_1_2_1_5_6_-15_0.07,29
1_1_2_1_5_6_-15_0.01,884
1_1_2_0_5_12_-21_0.02,30
1_1_2_1_5_6_-15_0.03,4561
1_1_1_0_5_7_-15_0.05,3923
0_1_1_1_5_11_-13_0.02,315
0_0_1_1_5_2_-21_0.04,2309
1_1_1_0_5_8_-18_0.04,3144
1_1_1_1_5_11_-17_0.03,3606
0_1_3_1_5_2_-3_0.03,4466
0_0_3_0_5_10_-21_0.08,585
1_0_3_1_5_8_-15_0.1,970
0_1_2_1_5_6_-13_0.1,571
0_1_2_1_5_12_-17_0.03,3585
1_1_1_1_5_6_-16_0.07,927
0_0_2_1_5_11_-4_0.02,2527
1_1_3_1_5_2_-3_0.02,961
0_1_2_0_5_9_-8_0.06,3221
0_1_3_0_5_10_-4_0.05,3694
0_0_1_1_5_3_-16_0.06,598
0_0_2_1_5_7_-1_0.06,2106
0_1_1_1_5_2_-23_0.07,2854
0_0_1_0_5_8_-1_0.04,606
